DATE;TYPE;ASSET;INITIAL PRICE;FINAL PRICE;INITIAL TOTAL; FINAL TOTAL;VALORIZATION;REC TYPE
01/03/2022 09:42:52;[COMPRA]; YFIIUSDT;2116;2116;15,87;15,87;0; Day
01/03/2022 09:43:12;[COMPRA]; TUSDT;0,1879;0,1879;15,99029;15,99029;0; Hour
01/03/2022 10:07:31;[COMPRA]; CVXUSDT;19,28;19,28;15,98312;15,98312;0; Minute
01/03/2022 10:14:13;[VENDA]; YFIIUSDT;2116;2131;15,87;15,9825;0,708884688090737; Day
01/03/2022 10:15:37;[COMPRA]; ICPUSDT;20;20;16;16;0; Day
01/03/2022 10:28:21;[VENDA]; TUSDT;0,1879;0,1838;15,99029;15,64138;-2,18201170835551; Hour
01/03/2022 10:29:29;[COMPRA]; COMPUSDT;125,2;125,2;15,9004;15,9004;0; Hour
01/03/2022 10:49:48;[VENDA]; COMPUSDT;125,2;126,4;15,9004;16,0528;0,958466453674121; Hour
01/03/2022 10:54:15;[VENDA]; ICPUSDT;20;20,19;16;16,152;0,95; Day
01/03/2022 10:55:22;[COMPRA]; AXSUSDT;59,49;59,49;15,4674;15,4674;0; Day
01/03/2022 10:57:39;[VENDA]; CVXUSDT;19,28;19,44;15,98312;16,11576;0,829875518672199; Minute
01/03/2022 10:57:46;[VENDA]; AXSUSDT;59,49;60,57;15,4674;15,7482;1,81543116490166; Day
01/03/2022 10:58:45;[COMPRA]; COMPUSDT;127,7;127,7;15,9625;15,9625;0; Day
01/03/2022 11:01:09;[COMPRA]; COMPUSDT;127,5;127,5;15,9375;15,9375;0; Day
01/03/2022 11:03:44;[COMPRA]; QTUMUSDT;6,791;6,791;15,6193;15,6193;0; Day
01/03/2022 11:05:52;[COMPRA]; AXSUSDT;60,98;60,98;15,8548;15,8548;0; Hour
01/03/2022 11:07:26;[COMPRA]; AXSUSDT;60,75;60,75;14,58;14,58;0; Hour
01/03/2022 11:09:03;[COMPRA]; AXSUSDT;60,31;60,31;14,4744;14,4744;0; Hour
01/03/2022 12:15:28;[COMPRA]; ZENUSDT;38,96;38,96;15,9736;15,9736;0; Day
01/03/2022 12:22:23;[VENDA]; ZENUSDT;38,96;39,32;15,9736;16,1212;0,924024640657084; Day
